catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
methyltestosterone,androgens-anabolic,androgens,androgens,methyltestosterone,rx_androgens_table
testosterone,androgens-anabolic,androgens,androgens,testosterone,rx_androgens_table
testosterone topical,androgens-anabolic,androgens,androgens,testosterone,rx_androgens_table
testosterone,androgens-anabolic,androgens,androgens,testosterone cypionate,rx_androgens_table
testosterone cypionate,androgens-anabolic,androgens,androgens,testosterone cypionate,rx_androgens_table
testosterone,androgens-anabolic,androgens,androgens,testosterone enanthate,rx_androgens_table
testosterone enanthate,androgens-anabolic,androgens,androgens,testosterone enanthate,rx_androgens_table
testosterone,androgens-anabolic,androgens,androgens,testosterone propionate,rx_androgens_table
testosterone propionate,androgens-anabolic,androgens,androgens,testosterone propionate,rx_androgens_table
testosterone undecanoate,androgens-anabolic,androgens,androgens,,rx_androgens_table
nandrolone-testosterone cyp&en,androgens-anabolic,androgens,,,rx_androgens_table
testosterone cypionate & prop,androgens-anabolic,androgens,,,rx_androgens_table
al hydroxide/mg hydroxide/simethicone,antacids,antacid combinations,antacid & simethicone,alum & mag hydroxide-simeth,rx_antacids_table
alum & mag hydroxide-simeth,antacids,antacid combinations,antacid & simethicone,alum & mag hydroxide-simeth,rx_antacids_table
aluminum hydroxide-magnesium hydroxide,antacids,antacid combinations,antacid & simethicone,alum & mag hydroxide-simeth,rx_antacids_table
ca carbonate/mg hydroxide/simethicone,antacids,antacid combinations,antacid & simethicone,cal carb-mag hydrox-simeth,rx_antacids_table
cal carb-mag hydrox-simeth,antacids,antacid combinations,antacid & simethicone,cal carb-mag hydrox-simeth,rx_antacids_table
calcium carbonate-simethicone,antacids,antacid combinations,antacid & simethicone,calcium carbonate-simethicone,rx_antacids_table
magaldrate-simethicone,antacids,antacid combinations,antacid & simethicone,magaldrate-simethicone,rx_antacids_table
sod bicarb-citric ac-simeth,antacids,antacid combinations,antacid & simethicone,sod bicarb-citric ac-simeth,rx_antacids_table
alginic acid/al hydroxide/mg trisilicate,antacids,antacid combinations,antacid combinations,al hyd-mg tr-alg ac-sod bicarb,rx_antacids_table
alginic acid/al hydroxide/mg carbonate,antacids,antacid combinations,antacid combinations,alum hydroxide-mag carbonate,rx_antacids_table
alum hydroxide-mag carbonate,antacids,antacid combinations,antacid combinations,alum hydroxide-mag carbonate,rx_antacids_table
alginic acid/al hydroxide/mg trisilicate,antacids,antacid combinations,antacid combinations,alum hydroxide-mag trisilicate,rx_antacids_table
alum hydroxide-mag trisilicate,antacids,antacid combinations,antacid combinations,alum hydroxide-mag trisilicate,rx_antacids_table
al hydroxide/mg hydroxide/simethicone,antacids,antacid combinations,antacid combinations,aluminum & magnesium hydroxide,rx_antacids_table
aluminum & magnesium hydroxide,antacids,antacid combinations,antacid combinations,aluminum & magnesium hydroxide,rx_antacids_table
aluminum hydroxide-magnesium hydroxide,antacids,antacid combinations,antacid combinations,aluminum & magnesium hydroxide,rx_antacids_table
ca carbonate-mag hydroxide,antacids,antacid combinations,antacid combinations,ca carbonate-mag hydroxide,rx_antacids_table
calcium carbonate-magnesium hydroxide,antacids,antacid combinations,antacid combinations,ca carbonate-mag hydroxide,rx_antacids_table
magnesium oxide-asafoetida,antacids,antacid combinations,antacid combinations,magnesium oxide-asafoetida,rx_antacids_table
sod bicarbonate-sod citrate,antacids,antacid combinations,antacid combinations,sod bicarbonate-sod citrate,rx_antacids_table
sodium bicarbonate-citric acid,antacids,antacid combinations,antacid combinations,sodium bicarbonate-citric acid,rx_antacids_table
sodium bicarbonate-sodium citrate,antacids,antacid combinations,antacid combinations,sodium bicarbonate-citric acid,rx_antacids_table
aluminum hydroxide,antacids,antacids - aluminum salts,antacids - aluminum salts,aluminum hydroxide gel,rx_antacids_table
aluminum hydroxide gel,antacids,antacids - aluminum salts,antacids - aluminum salts,aluminum hydroxide gel,rx_antacids_table
dihydroxyaluminum sodium carbonate,antacids,antacids - aluminum salts,antacids - aluminum salts,dihydroxyaluminum sod carb,rx_antacids_table
sodium bicarbonate,antacids,antacids - bicarbonate,antacids - bicarbonate,sodium bicarbonate,rx_antacids_table
sodium & potassium bicarbonate,antacids,antacids - bicarbonate,antacids - bicarbonate combinations,sodium & potassium bicarbonate,rx_antacids_table
sod bicarb-k bicarb-citric acd,antacids,antacids - bicarbonate,antacids - bicarbonate combinations,,rx_antacids_table
calcium carbonate,antacids,antacids - calcium salts,antacids - calcium salts,calcium carbonate antacid,rx_antacids_table
calcium carbonate antacid,antacids,antacids - calcium salts,antacids - calcium salts,calcium carbonate antacid,rx_antacids_table
magaldrate,antacids,antacids - magnesium salts,antacids - magnesium salts,magaldrate,rx_antacids_table
magnesium carbonate (antacid),antacids,antacids - magnesium salts,antacids - magnesium salts,magnesium carbonate (antacid),rx_antacids_table
magnesium oxide,antacids,antacids - magnesium salts,antacids - magnesium salts,magnesium oxide,rx_antacids_table
magnesium trisilicate,antacids,antacids - magnesium salts,antacids - magnesium salts,magnesium trisilicate,rx_antacids_table
sodium citrate dihydrate,antacids,antacids - sodium citrate,antacids - sodium citrate,sodium citrate dihydrate,rx_antacids_table
daunorubicin,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,daunorubicin hcl,rx_anthracyclines_table
daunorubicin hcl,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,daunorubicin hcl,rx_anthracyclines_table
doxorubicin conventional,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,doxorubicin hcl,rx_anthracyclines_table
doxorubicin hcl,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,doxorubicin hcl,rx_anthracyclines_table
doxorubicin hcl liposomal,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,doxorubicin hcl liposomal,rx_anthracyclines_table
doxorubicin liposomal,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,doxorubicin hcl liposomal,rx_anthracyclines_table
mitoxantrone,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,mitoxantrone hcl,rx_anthracyclines_table
mitoxantrone hcl,antineoplastics and adjunctive therapies,antineoplastic antibiotics,antineoplastic antibiotics,mitoxantrone hcl,rx_anthracyclines_table
daunorubicin-cytarabine lipo,antineoplastics and adjunctive therapies,antineoplastic combinations,antineoplastic combinations,,rx_anthracyclines_table
daunorubicin hcl,,,,,rx_anthracyclines_table
doxorubicin hcl,,,,,rx_anthracyclines_table
mitoxantrone hcl,,,,,rx_anthracyclines_table
bicalutamide,antineoplastics and adjunctive therapies,antineoplastic - hormonal and related agents,antiandrogens,bicalutamide,rx_antiandrogens_table
enzalutamide,antineoplastics and adjunctive therapies,antineoplastic - hormonal and related agents,antiandrogens,enzalutamide,rx_antiandrogens_table
flutamide,antineoplastics and adjunctive therapies,antineoplastic - hormonal and related agents,antiandrogens,flutamide,rx_antiandrogens_table
nilutamide,antineoplastics and adjunctive therapies,antineoplastic - hormonal and related agents,antiandrogens,nilutamide,rx_antiandrogens_table
apalutamide,antineoplastics and adjunctive therapies,antineoplastic - hormonal and related agents,antiandrogens,,rx_antiandrogens_table
darolutamide,antineoplastics and adjunctive therapies,antineoplastic - hormonal and related agents,antiandrogens,,rx_antiandrogens_table
disopyramide,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,disopyramide phosphate,rx_antiarrhythmics1a_table
disopyramide phosphate,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,disopyramide phosphate,rx_antiarrhythmics1a_table
procainamide,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,procainamide hcl,rx_antiarrhythmics1a_table
procainamide hcl,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,procainamide hcl,rx_antiarrhythmics1a_table
quinidine,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,quinidine gluconate,rx_antiarrhythmics1a_table
quinidine gluconate,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,quinidine gluconate,rx_antiarrhythmics1a_table
quinidine,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,quinidine sulfate,rx_antiarrhythmics1a_table
quinidine sulfate,antiarrhythmics,antiarrhythmics type i-a,antiarrhythmics type i-a,quinidine sulfate,rx_antiarrhythmics1a_table
lidocaine,antiarrhythmics,antiarrhythmics type i-b,antiarrhythmics type i-b,lidocaine hcl (cardiac),rx_antiarrhythmics1b_table
lidocaine hcl (cardiac),antiarrhythmics,antiarrhythmics type i-b,antiarrhythmics type i-b,lidocaine hcl (cardiac),rx_antiarrhythmics1b_table
lidocaine,antiarrhythmics,antiarrhythmics type i-b,antiarrhythmics type i-b,lidocaine in d5w,rx_antiarrhythmics1b_table
lidocaine in d5w,antiarrhythmics,antiarrhythmics type i-b,antiarrhythmics type i-b,lidocaine in d5w,rx_antiarrhythmics1b_table
mexiletine,antiarrhythmics,antiarrhythmics type i-b,antiarrhythmics type i-b,mexiletine hcl,rx_antiarrhythmics1b_table
mexiletine hcl,antiarrhythmics,antiarrhythmics type i-b,antiarrhythmics type i-b,mexiletine hcl,rx_antiarrhythmics1b_table
flecainide,antiarrhythmics,antiarrhythmics type i-c,antiarrhythmics type i-c,flecainide acetate,rx_antiarrhythmics1c_table
flecainide acetate,antiarrhythmics,antiarrhythmics type i-c,antiarrhythmics type i-c,flecainide acetate,rx_antiarrhythmics1c_table
amiodarone,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,amiodarone hcl,rx_antiarrhythmics3_table
amiodarone hcl,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,amiodarone hcl,rx_antiarrhythmics3_table
,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,amiodarone hcl,rx_antiarrhythmics3_table
amiodarone hcl in dextrose,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,amiodarone hcl in dextrose,rx_antiarrhythmics3_table
,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,amiodarone hcl in dextrose,rx_antiarrhythmics3_table
dofetilide,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,dofetilide,rx_antiarrhythmics3_table
dronedarone,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,dronedarone hcl,rx_antiarrhythmics3_table
dronedarone hcl,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,dronedarone hcl,rx_antiarrhythmics3_table
ibutilide,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,ibutilide fumarate,rx_antiarrhythmics3_table
ibutilide fumarate,antiarrhythmics,antiarrhythmics type iii,antiarrhythmics type iii,ibutilide fumarate,rx_antiarrhythmics3_table
cidofovir,antivirals,cmv agents,cmv agents,cidofovir,rx_anticmv_table
foscarnet,antivirals,cmv agents,cmv agents,foscarnet sodium,rx_anticmv_table
foscarnet sodium,antivirals,cmv agents,cmv agents,foscarnet sodium,rx_anticmv_table
ganciclovir,antivirals,cmv agents,cmv agents,ganciclovir,rx_anticmv_table
ganciclovir,antivirals,cmv agents,cmv agents,ganciclovir sodium,rx_anticmv_table
ganciclovir sodium,antivirals,cmv agents,cmv agents,ganciclovir sodium,rx_anticmv_table
valganciclovir,antivirals,cmv agents,cmv agents,valganciclovir hcl,rx_anticmv_table
valganciclovir hcl,antivirals,cmv agents,cmv agents,valganciclovir hcl,rx_anticmv_table
letermovir,antivirals,cmv agents,cmv agents,,rx_anticmv_table
carbamazepine,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,carbamazepine,rx_anticonvulsants_table
ezogabine,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,ezogabine,rx_anticonvulsants_table
gabapentin,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,gabapentin,rx_anticonvulsants_table
haloperidol,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,gabapentin,rx_anticonvulsants_table
prednisone,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,gabapentin,rx_anticonvulsants_table
lacosamide,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,lacosamide,rx_anticonvulsants_table
lamotrigine,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,lamotrigine,rx_anticonvulsants_table
flurazepam,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,levetiracetam,rx_anticonvulsants_table
levetiracetam,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,levetiracetam,rx_anticonvulsants_table
levetiracetam in nacl,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,levetiracetam in nacl,rx_anticonvulsants_table
oxcarbazepine,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,oxcarbazepine,rx_anticonvulsants_table
pregabalin,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,pregabalin,rx_anticonvulsants_table
primidone,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,primidone,rx_anticonvulsants_table
rufinamide,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,rufinamide,rx_anticonvulsants_table
topiramate,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,topiramate,rx_anticonvulsants_table
zonisamide,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,zonisamide,rx_anticonvulsants_table
brivaracetam,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,,rx_anticonvulsants_table
cannabidiol,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,,rx_anticonvulsants_table
eslicarbazepine acetate,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,,rx_anticonvulsants_table
fenfluramine hcl,anticonvulsants,anticonvulsants - misc.,anticonvulsants - misc.,,rx_anticonvulsants_table
felbamate,anticonvulsants,carbamates,carbamates,felbamate,rx_anticonvulsants_table
cenobamate,anticonvulsants,carbamates,carbamates,,rx_anticonvulsants_table
tiagabine,anticonvulsants,gaba modulators,gaba modulators,tiagabine hcl,rx_anticonvulsants_table
tiagabine hcl,anticonvulsants,gaba modulators,gaba modulators,tiagabine hcl,rx_anticonvulsants_table
vigabatrin,anticonvulsants,gaba modulators,gaba modulators,vigabatrin,rx_anticonvulsants_table
ethotoin,anticonvulsants,hydantoins,hydantoins,ethotoin,rx_anticonvulsants_table
fosphenytoin,anticonvulsants,hydantoins,hydantoins,fosphenytoin sodium,rx_anticonvulsants_table
fosphenytoin sodium,anticonvulsants,hydantoins,hydantoins,fosphenytoin sodium,rx_anticonvulsants_table
phenytoin,anticonvulsants,hydantoins,hydantoins,phenytoin,rx_anticonvulsants_table
phenytoin,anticonvulsants,hydantoins,hydantoins,phenytoin sodium,rx_anticonvulsants_table
phenytoin sodium,anticonvulsants,hydantoins,hydantoins,phenytoin sodium,rx_anticonvulsants_table
paroxetine,anticonvulsants,hydantoins,hydantoins,phenytoin sodium extended,rx_anticonvulsants_table
phenytoin,anticonvulsants,hydantoins,hydantoins,phenytoin sodium extended,rx_anticonvulsants_table
phenytoin sodium extended,anticonvulsants,hydantoins,hydantoins,phenytoin sodium extended,rx_anticonvulsants_table
ethosuximide,anticonvulsants,succinimides,succinimides,ethosuximide,rx_anticonvulsants_table
methsuximide,anticonvulsants,succinimides,succinimides,methsuximide,rx_anticonvulsants_table
divalproex sodium,anticonvulsants,valproic acid,valproic acid,divalproex sodium,rx_anticonvulsants_table
valproate sodium,anticonvulsants,valproic acid,valproic acid,valproate sodium,rx_anticonvulsants_table
valproic acid,anticonvulsants,valproic acid,valproic acid,valproate sodium,rx_anticonvulsants_table
valproic acid,anticonvulsants,valproic acid,valproic acid,valproic acid,rx_anticonvulsants_table
perampanel,anticonvulsants,,,,rx_anticonvulsants_table
crofelemer,antidiarrheals,antidiarrheal - chloride channel antagonists,antidiarrheal - chloride channel antagonists,crofelemer,rx_antidiarrhea_table
banana flakes,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,banana flakes,rx_antidiarrhea_table
bismuth subgallate,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,bismuth subgallate,rx_antidiarrhea_table
bismuth subgallate,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,bismuth subsalicylate,rx_antidiarrhea_table
bismuth subsalicylate,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,bismuth subsalicylate,rx_antidiarrhea_table
fructooligosaccharides,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,fructooligosaccharides,rx_antidiarrhea_table
lactobacillus,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus,rx_antidiarrhea_table
lactobacillus acidophilus,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus,rx_antidiarrhea_table
lactobacillus acidophilus and bulgaricus,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus,rx_antidiarrhea_table
lactobacillus bifidus,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus bifidus,rx_antidiarrhea_table
lactobacillus reuteri,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus reuteri,rx_antidiarrhea_table
lactobacillus rhamnosus (gg),antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus rhamnosus (gg),rx_antidiarrhea_table
lactobacillus rhamnosus gg,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,lactobacillus rhamnosus (gg),rx_antidiarrhea_table
prebiotic product,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,prebiotic product,rx_antidiarrhea_table
bifidobacterium infantis,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,probiotic product,rx_antidiarrhea_table
bifidobacterium-lactobacillus,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,probiotic product,rx_antidiarrhea_table
lactobacillus species-streptococcus species,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,probiotic product,rx_antidiarrhea_table
probiotic product,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,probiotic product,rx_antidiarrhea_table
saccharomyces boulardii,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,saccharomyces boulardii,rx_antidiarrhea_table
saccharomyces boulardii lyo,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,saccharomyces boulardii,rx_antidiarrhea_table
bifidobacterium bifidum,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,,rx_antidiarrhea_table
bifidobacterium lactis,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,,rx_antidiarrhea_table
bifidobacterium longum infant,antidiarrheals,antidiarrheal agents - misc.,antidiarrheal agents - misc.,,rx_antidiarrhea_table
bacillus coagulans-inulin,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,bacillus coagulans-inulin,rx_antidiarrhea_table
kaolin-pectin,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,kaolin-pectin,rx_antidiarrhea_table
lactobacillus acid-pectin,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,lactobacillus acid-pectin,rx_antidiarrhea_table
lactobacillus acidophilus,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,lactobacillus acid-pectin,rx_antidiarrhea_table
lactobacillus-inulin,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,lactobacillus-inulin,rx_antidiarrhea_table
lactobacillus casei-folic acid,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,,rx_antidiarrhea_table
lactobacillus reuteri-vit d,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,,rx_antidiarrhea_table
lactobacillus rham-chamomile,antidiarrheals,antidiarrheal combinations,antidiarrheal combinations,,rx_antidiarrhea_table
loperamide-simethicone,antidiarrheals,antidiarrheal combinations,diarrhea combinations - opiates,loperamide-simethicone,rx_antidiarrhea_table
atropine-difenoxin,antidiarrheals,antiperistaltic agents,antiperistaltic agents,difenoxin-atropine,rx_antidiarrhea_table
difenoxin-atropine,antidiarrheals,antiperistaltic agents,antiperistaltic agents,difenoxin-atropine,rx_antidiarrhea_table
atropine-diphenoxylate,antidiarrheals,antiperistaltic agents,antiperistaltic agents,diphenoxylate-atropine,rx_antidiarrhea_table
diphenoxylate-atropine,antidiarrheals,antiperistaltic agents,antiperistaltic agents,diphenoxylate-atropine,rx_antidiarrhea_table
loperamide,antidiarrheals,antiperistaltic agents,antiperistaltic agents,loperamide hcl,rx_antidiarrhea_table
loperamide hcl,antidiarrheals,antiperistaltic agents,antiperistaltic agents,loperamide hcl,rx_antidiarrhea_table
opium,antidiarrheals,antiperistaltic agents,antiperistaltic agents,opium,rx_antidiarrhea_table
opium,antidiarrheals,antiperistaltic agents,antiperistaltic agents,paregoric,rx_antidiarrhea_table
paregoric,antidiarrheals,antiperistaltic agents,antiperistaltic agents,paregoric,rx_antidiarrhea_table
attapulgite,antidiarrheals,gastrointestinal adsorbents,gastrointestinal adsorbents,attapulgite,rx_antidiarrhea_table
pectin,antidiarrheals,gastrointestinal adsorbents,gastrointestinal adsorbents,pectin,rx_antidiarrhea_table
dolasetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,dolasetron mesylate,rx_antiemetics_table
dolasetron mesylate,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,dolasetron mesylate,rx_antiemetics_table
granisetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,granisetron,rx_antiemetics_table
granisetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,granisetron hcl,rx_antiemetics_table
granisetron hcl,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,granisetron hcl,rx_antiemetics_table
ondansetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron,rx_antiemetics_table
ondansetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron hcl,rx_antiemetics_table
ondansetron hcl,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron hcl,rx_antiemetics_table
,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron hcl,rx_antiemetics_table
ondansetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron hcl-dextrose,rx_antiemetics_table
ondansetron hcl-dextrose,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron hcl-dextrose,rx_antiemetics_table
ondansetron hcl-nacl,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,ondansetron hcl-nacl,rx_antiemetics_table
palonosetron,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,palonosetron hcl,rx_antiemetics_table
palonosetron hcl,antiemetics,5-ht3 receptor antagonists,5-ht3 receptor antagonists,palonosetron hcl,rx_antiemetics_table
dimenhydrinate,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,dimenhydrinate,rx_antiemetics_table
dimenhydrinate,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,meclizine hcl,rx_antiemetics_table
meclizine,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,meclizine hcl,rx_antiemetics_table
